variable,total_iv,预测力
total_late_cnt,1.3650851063558864,强
revolving_utilization,1.0788566022564574,强
has_severe_late,1.0697546382296366,强
severe_late_ratio,1.0697546382296366,强
n_loans_90d,0.8376530927350387,强
n_loans_30_59d,0.7402132273609715,强
n_loans_60_89d,0.5724406074995531,强
age,0.24711297720284175,中
income_per_person,0.08991745717823539,弱
n_credit_lines,0.07540056670956868,弱
debt_ratio,0.0700687199513489,弱
monthly_income,0.06901509616282885,弱
n_real_estate_loans,0.05533492711924901,弱
n_dependents,0.033834550449105244,弱
est_monthly_debt,0.025609828230948015,弱
is_income_missing,0.0077189608062499335,无预测力(弃)
